Lead ID,Evidence ID,Evidence Type,Claim,Source URL,Source Name,Checked At,Reliability,Run ID,Campaign ID
N5K-0714,N5K-0714-E01,SIZE,"2025 revenue 265,206,000 RUB; 39 employees",https://firmoteka.ru/7701775866,Firmoteka,2026-08-31T05:37:21+03:00,HIGH,N5K-20260831-535R1,new_5000
N5K-0714,N5K-0714-E02,LEGAL,"ООО РУБЕЖ-ИНЖИНИРИНГ, INN 7701775866, OGRN 1087746355443, active legal entity",https://companies.rbc.ru/id/1087746355443-ooo-rubezh-inzhiniring/,RBC Companies,2026-08-31T05:37:21+03:00,HIGH,N5K-20260831-535R1,new_5000
N5K-0714,N5K-0714-E03,SIGNAL,Commercial leadership hiring signal dated 2026-08-20,https://moscow.cataloxy.ru/rabota/vacancy1128125540_kategoriynyy-direktor.htm,Cataloxy,2026-08-31T05:37:21+03:00,HIGH,N5K-20260831-535R1,new_5000
N5K-0714,N5K-0714-E04,LPR,Науменко Петр Алексеевич — 80% owner; executive role confirmed by fresher Firmoteka record,https://firmoteka.ru/7701775866,Firmoteka,2026-08-31T05:37:21+03:00,HIGH,N5K-20260831-535R1,new_5000
N5K-0714,N5K-0714-E05,CONTACT,Published corporate phone/email route,https://www.rub-in.ru/company/,official website,2026-08-31T05:37:21+03:00,HIGH,N5K-20260831-535R1,new_5000
N5K-0715,N5K-0715-E01,SIZE,"2025 revenue 933,355,000 RUB; 24 employees",https://companium.ru/id/1146670033509-san-lodzhistik,Companium,2026-08-31T05:37:21+03:00,HIGH,N5K-20260831-535R1,new_5000
N5K-0715,N5K-0715-E02,LEGAL,"ООО САН ЛОДЖИСТИК, INN 6670432550, OGRN 1146670033509, active legal entity",https://companies.rbc.ru/id/1146670033509-ooo-san-lodzhistik/,RBC Companies,2026-08-31T05:37:21+03:00,HIGH,N5K-20260831-535R1,new_5000
N5K-0715,N5K-0715-E03,SIGNAL,Commercial director hiring signal dated 2026-08-19,https://ekaterinburg.jobrun.ru/%D0%BA%D0%BE%D0%BC%D0%BC%D0%B5%D1%80%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9-%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80-%D0%B4%D0%B5%D0%B2%D0%B5%D0%BB%D0%BE%D0%BF%D0%BC%D0%B5%D0%BD%D1%82-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0,JobRun,2026-08-31T05:37:21+03:00,HIGH,N5K-20260831-535R1,new_5000
N5K-0715,N5K-0715-E04,LPR,Искабулов Сергей Рустамович — director and 20% owner; ownership structure verified,https://companium.ru/id/1146670033509-san-lodzhistik,Companium,2026-08-31T05:37:21+03:00,HIGH,N5K-20260831-535R1,new_5000
N5K-0715,N5K-0715-E05,CONTACT,Published corporate phone/email route,https://1foodexpo.com/companies/konservanty/san-lodzistik/contacts,published business directory,2026-08-31T05:37:21+03:00,HIGH,N5K-20260831-535R1,new_5000
