Lead ID,Evidence ID,Evidence Type,Claim,Source URL,Source Name,Checked At,Reliability,Run ID,Campaign ID
N5K-0509,N5K-0509-E01,LEGAL,"Действующее ООО; ИНН 6318035951, ОГРН 1186313049823.",https://saby.ru/profile/6318035951-631801001,Current company profile,2026-08-25T22:58:00+03:00,HIGH,N5K-20260825-412,new_5000
N5K-0509,N5K-0509-E02,SCALE_CURRENT,"Выручка 435,721 млн руб. за 2025 год; компания относится к целевому масштабу.",https://saby.ru/profile/6318035951-631801001,Current company profile,2026-08-25T22:58:00+03:00,HIGH,N5K-20260825-412,new_5000
N5K-0509,N5K-0509-E03,SIGNAL,"S1: поиск коммерческого директора / руководителя проектных продаж для развития выручки, маржинальности, клиентской базы, отдела продаж и бизнес-процессов.",https://dreamjob.ru/employers/116103/vakansii,Current job signal,2026-08-25T22:58:00+03:00,HIGH,N5K-20260825-412,new_5000
N5K-0509,N5K-0509-E04,LPR,Литвиненко Виталий Леонидович — генеральный директор с 16.07.2025; собственники — физические лица по актуальному профилю.,https://companies.rbc.ru/id/1186313049823-ooo-aktsionernaya-firma-perspektiva-opyitno-mehanicheskij-zavod/,Current registry profile,2026-08-25T22:58:00+03:00,HIGH,N5K-20260825-412,new_5000
N5K-0509,N5K-0509-E05,CONTACT,"Официальные корпоративные маршруты: +7 (846) 207-61-11, info@perspektivaomz.ru, office@perspektivaomz.ru.",https://perspektivaomz.ru/contact,Official company site,2026-08-25T22:58:00+03:00,HIGH,N5K-20260825-412,new_5000
N5K-0509,N5K-0509-E06,BRAND_LEGAL,Бренд АФ «Перспектива» ОМЗ связан с ООО Акционерная фирма «Перспектива» Опытно-механический завод.,https://perspektivaomz.ru/,Official company site,2026-08-25T22:58:00+03:00,HIGH,N5K-20260825-412,new_5000
N5K-0510,N5K-0510-E01,LEGAL,"Действующее ООО; ИНН 6679065016, ОГРН 1156679001599.",https://saby.ru/profile/6679065016-667901001,Current company profile,2026-08-25T22:58:00+03:00,HIGH,N5K-20260825-412,new_5000
N5K-0510,N5K-0510-E02,SCALE_CURRENT,"Выручка 622,47 млн руб. за 2025 год; 36 сотрудников по актуальному профилю.",https://companies.rbc.ru/id/1156679001599-ooo-inkubatorno-ptitsevodcheskaya-stantsiya-sverdlovskaya/,Current company profile,2026-08-25T22:58:00+03:00,HIGH,N5K-20260825-412,new_5000
N5K-0510,N5K-0510-E03,SIGNAL,"S1: руководитель отдела продаж для стратегического развития, процессов, key-account и автоматизации продаж.",https://ekaterinburg.hh.ru/vacancies/direktor-po-prodazham-i-razvitiyu/polnaya_zanyatost,Current job signal,2026-08-25T22:58:00+03:00,HIGH,N5K-20260825-412,new_5000
N5K-0510,N5K-0510-E04,LPR,Свяжин Владимир Витальевич — 100% учредитель; Гольденберг Ольга Михайловна — генеральный директор.,https://companies.rbc.ru/amp/ogrn/1156679001599/,Current registry profile,2026-08-25T22:58:00+03:00,HIGH,N5K-20260825-412,new_5000
N5K-0510,N5K-0510-E05,CONTACT,"Официальные +7 343 264-51-17, +7 982 764-78-77, ips66@bk.ru и форма контактов.",https://ips66.ru/contacts,Official company site,2026-08-25T22:58:00+03:00,HIGH,N5K-20260825-412,new_5000
N5K-0510,N5K-0510-E06,BRAND_LEGAL,Официальный сайт ИПС «Свердловская» связан с ООО «Инкубаторно-птицеводческая станция «Свердловская».,https://ips66.ru/,Official company site,2026-08-25T22:58:00+03:00,HIGH,N5K-20260825-412,new_5000
