Lead ID,Evidence Type,Evidence Summary,Source URL,Checked At,Run ID,Campaign ID
N5K-0108,LEGAL,"ООО «АРТКАРС» действует; ИНН 0800034601; ОГРН 1250800009041; генеральный директор и 100% собственник — Сафронова Ольга Семеновна",https://companies.rbc.ru/,2026-08-09T04:08:00+03:00,N5K-20260809-134,new_5000
N5K-0108,SCALE,"Работодатель указывает 440+ млн ₽ выигранных тендеров за 2024 год; поставки технологического оборудования по России",https://hh.ru/employer/ARTKARS,2026-08-09T04:08:00+03:00,N5K-20260809-134,new_5000
N5K-0108,SIGNAL,"Вакансия требует с нуля создать новое коммерческое B2B-направление: стратегию, команду, CRM, KPI и прямые продажи",https://hh.ru/vacancy/129738622,2026-08-09T04:08:00+03:00,N5K-20260809-134,new_5000
N5K-0108,LPR_AND_ROUTE,"Сафронова Ольга Семеновна — собственник и генеральный директор; официальный сайт публикует +7 (977) 503-46-78 и info-artkars@ya.ru",https://artkars.ru/,2026-08-09T04:08:00+03:00,N5K-20260809-134,new_5000
N5K-0108,BRAND_LEGAL_MATCH,"Официальный сайт АРТКАРС идентифицирует ООО «АРТКАРС» и публикует корпоративные контакты",https://artkars.ru/,2026-08-09T04:08:00+03:00,N5K-20260809-134,new_5000
N5K-0109,LEGAL,"ООО «ТРЕТЬЕ ЧУВСТВО» действует; ИНН 7723909753; ОГРН 1147746596931; генеральный директор и 100% собственник — Шабала Сергей Николаевич",https://companies.rbc.ru/,2026-08-09T04:08:00+03:00,N5K-20260809-134,new_5000
N5K-0109,SCALE,"Выручка 2024 — 108,715 млн ₽; официальный сайт указывает работу с 2010 года и 50+ представителей",https://3sense.ru/about/,2026-08-09T04:08:00+03:00,N5K-20260809-134,new_5000
N5K-0109,SIGNAL,"Вакансия руководителя продаж требует построить и обучить отдел продаж с нуля и внедрить B2B/B2G-воронку",https://hh.ru/vacancies/rukovoditel-otdela-prodazh-uslug/za_poslednie_tri_dnya,2026-08-09T04:08:00+03:00,N5K-20260809-134,new_5000
N5K-0109,LPR_AND_ROUTE,"Шабала Сергей Николаевич — собственник и генеральный директор; официальный сайт публикует 8 800 500-05-71 и форму обращения",https://3sense.ru/write,2026-08-09T04:08:00+03:00,N5K-20260809-134,new_5000
N5K-0109,BRAND_LEGAL_MATCH,"Официальный сайт Третье Чувство публикует реквизиты ООО «ТРЕТЬЕ ЧУВСТВО», ИНН 7723909753, ОГРН 1147746596931",https://3sense.ru/about/,2026-08-09T04:08:00+03:00,N5K-20260809-134,new_5000
N5K-0110,LEGAL,"ООО «ЭЙ ЭНД ЭЙ» действует; ИНН 7730557534; ОГРН 5077746280057; генеральный директор — Коляскин Александр Владимирович",https://companies.rbc.ru/,2026-08-09T04:08:00+03:00,N5K-20260809-134,new_5000
N5K-0110,SCALE,"Выручка 2025 — 1,323 млрд ₽; Roomlink указывает 22 000+ отелей, 350+ агентств и позицию TOP-5 агрегаторов отелей РФ",https://roomlink.ru/,2026-08-09T04:08:00+03:00,N5K-20260809-134,new_5000
N5K-0110,SIGNAL,"Вакансия Roomlink требует собрать отдел продаж с нуля для привлечения BTA/OTA и масштабирования B2B TravelTech-продаж",https://hh.ru/vacancies/rukovoditel-otdela-prodazh-it/polniy_den,2026-08-09T04:08:00+03:00,N5K-20260809-134,new_5000
N5K-0110,LPR_AND_ROUTE,"Коляскин Александр Владимирович — генеральный директор; официальный сайт публикует +7 (800) 100-35-81 и info@roomlink.ru",https://roomlink.ru/,2026-08-09T04:08:00+03:00,N5K-20260809-134,new_5000
N5K-0110,BRAND_LEGAL_MATCH,"Официальный сайт Roomlink публикует реквизиты ООО «ЭЙ ЭНД ЭЙ», ИНН 7730557534, ОГРН 5077746280057",https://roomlink.ru/,2026-08-09T04:08:00+03:00,N5K-20260809-134,new_5000
N5K-0111,LEGAL,"ООО «СЕРТ ЭКСПЕРТ» действует; ИНН 5027285842; ОГРН 1205000035943; генеральный директор и 100% собственник — Малышев Олег Юрьевич",https://companies.rbc.ru/,2026-08-09T04:08:00+03:00,N5K-20260809-134,new_5000
N5K-0111,SCALE,"Выручка 2024 — 29,003 млн ₽; официальный сайт подтверждает статус аккредитованного органа сертификации RA.RU.11НВ90",https://ex-sert.ru/,2026-08-09T04:08:00+03:00,N5K-20260809-134,new_5000
N5K-0111,SIGNAL,"Вакансия руководителя продаж требует организовать отдел с нуля, развить направление и сформировать команду",https://hh.ru/vacancies/rukovoditel-organa-po-sertifikatsii/ot_pryamih_rabotodateley,2026-08-09T04:08:00+03:00,N5K-20260809-134,new_5000
N5K-0111,LPR_AND_ROUTE,"Малышев Олег Юрьевич — собственник и генеральный директор; официальный сайт публикует +7 977 480-29-87 и sertekspert@list.ru",https://ex-sert.ru/,2026-08-09T04:08:00+03:00,N5K-20260809-134,new_5000
N5K-0111,BRAND_LEGAL_MATCH,"Официальный сайт Серт Эксперт связывает бренд с ООО «СЕРТ ЭКСПЕРТ» и публикует данные руководителя и аккредитации",https://ex-sert.ru/,2026-08-09T04:08:00+03:00,N5K-20260809-134,new_5000
