Lead ID,Contact ID,Brand,INN,Person Name,Person Role,Contact Value,Contact Channel,Contact Type,Contact Source,Source URL,Is LPR,Reliability,Date Checked,Notes,Run ID,Campaign ID
N5K-0589,N5K-0589-C01,Altapp / Альтап / Селекта Сервис,5259109389,,Корпоративный маршрут,+7-800-555-63-49,phone,official corporate,Altapp official,https://altapp.ru/privacy_policy,NO,HIGH,2026-08-27,,N5K-20260827-444,new_5000
N5K-0589,N5K-0589-C02,Altapp / Альтап / Селекта Сервис,5259109389,,Корпоративный маршрут,info@altapp.ru,email,official corporate,Altapp official,https://altapp.ru/,NO,HIGH,2026-08-27,,N5K-20260827-444,new_5000
N5K-0589,N5K-0589-C03,Altapp / Альтап / Селекта Сервис,5259109389,,Корпоративный маршрут,https://altapp.ru/,form,official website route,Altapp official,https://altapp.ru/,NO,HIGH,2026-08-27,,N5K-20260827-444,new_5000
N5K-0590,N5K-0590-C01,Белгородский хладокомбинат,3125008530,Бузиашвили Георгий Даниелович,Генеральный директор и крупный акционер,+7 (4722) 21-78-81,phone,CEO reception,Official company site,https://hlado.ru/kontakty/,YES,HIGH,2026-08-27,,N5K-20260827-444,new_5000
N5K-0590,N5K-0590-C02,Белгородский хладокомбинат,3125008530,Бузиашвили Георгий Даниелович,Генеральный директор и крупный акционер,217881@belhlado.ru,email,CEO reception,Official company site,https://hlado.ru/kontakty/,YES,HIGH,2026-08-27,,N5K-20260827-444,new_5000
N5K-0591,N5K-0591-C01,Павлово-Посадский Гофрокомбинат / ПП Гофрокомбинат,5035040606,,Корпоративный маршрут,+7 (495) 960-19-22,phone,official corporate,PPGK official,https://ppgk.ru/,NO,HIGH,2026-08-27,,N5K-20260827-444,new_5000
N5K-0591,N5K-0591-C02,Павлово-Посадский Гофрокомбинат / ПП Гофрокомбинат,5035040606,,Корпоративный маршрут,info@ppgk.ru,email,official corporate,PPGK official,https://ppgk.ru/,NO,HIGH,2026-08-27,,N5K-20260827-444,new_5000
N5K-0591,N5K-0591-C03,Павлово-Посадский Гофрокомбинат / ПП Гофрокомбинат,5035040606,,Корпоративный маршрут,https://ppgk.ru/,form,official website route,PPGK official,https://ppgk.ru/,NO,HIGH,2026-08-27,,N5K-20260827-444,new_5000
N5K-0592,N5K-0592-C01,СЭГЗ / Сарапульский электрогенераторный завод,1827001683,,Корпоративный маршрут,+7 (34147) 97-2-01,phone,official corporate,SEGZ official,https://segz.ru/,NO,HIGH,2026-08-27,,N5K-20260827-444,new_5000
N5K-0592,N5K-0592-C02,СЭГЗ / Сарапульский электрогенераторный завод,1827001683,,Корпоративный маршрут,info@segz.ru,email,official corporate,SEGZ official,https://segz.ru/,NO,HIGH,2026-08-27,,N5K-20260827-444,new_5000
