lead_id,brand,email,status,sent_at,gmail_message_id,subject,note
N5K-0046,Тимоша,halva@timosha.ru,BOUNCED,2026-08-31T09:01:04+03:00,1a0570d06526d55d,Тимоша: новое направление и коммерческая модель роста,Delivery failed
N5K-0046,Тимоша,admin2@timosha.ru,SENT,2026-08-31T09:18:00+03:00,1a057146c4d23744,Тимоша: новое направление и коммерческая модель роста,Official alternative address
N5K-0005,Слюсарев и Партнёры,info@slyusarevpartners.ru,SENT,2026-08-31T09:20:00+03:00,1a0571bebb19fd35,Тренды 2026 для «Слюсарев и Партнёры»: прибыльная B2B-воронка и партнёрские каналы,
N5K-0024,ПСВ / Правовая служба взыскания,psvrf2008@mail.ru,SENT,2026-08-31T09:20:00+03:00,1a0571c5c36d40fa,Тренды 2026 для ПСВ: рост 506% и управляемый B2B-отдел,
N5K-0038,Agrida / Агрида,zakaz@agrida.ru,SENT,2026-08-31T09:20:00+03:00,1a0571cdce7008ce,Тренды 2026 для Agrida: рост x3 и коммерческая модель нового направления,
N5K-0053,Парус,info@tpp.ru,SENT,2026-08-31T09:20:00+03:00,1a0571d4af3b8522,Тренды 2026 для «Парус»: холодные B2B-продажи и прогнозируемая экономика,
N5K-0054,Идеальный турник,region@idealturnik.ru,SENT,2026-08-31T09:20:00+03:00,1a0571dc67c6a9c0,Тренды 2026 для «Идеального турника»: B2B-продажи и рост конверсии,
N5K-0057,ВЕГАЛИБР,zakaz@vegalibr.ru,SENT,2026-08-31T09:20:00+03:00,1a0571e2ffa64259,Тренды 2026 для «ВЕГАЛИБР»: промышленный B2B и новый коммерческий контур,
N5K-0058,AI-UP,info@ai-up.ru,SENT,2026-08-31T09:20:00+03:00,1a0571e96ed96ece,Тренды 2026 для AI-UP: масштабирование B2B SaaS-продаж и unit-экономика,
N5K-0060,Ectem / Ectem OK,info@ectem.ru,SENT,2026-08-31T09:20:00+03:00,1a0571f08013f540,Тренды 2026 для Ectem: рост +123% и масштабирование B2B SaaS,
N5K-0063,SILENKO AUTOcratia,sales@silenkoautocratia.ru,SENT,2026-08-31T09:20:00+03:00,1a0571f8103b90ea,Тренды 2026 для SILENKO AUTOcratia: региональный рост и управляемый отдел продаж,
N5K-0065,TALANTLIVO,info@talantlivo.pro,BOUNCED,2026-08-31T09:21:00+03:00,1a0571ff7fce5853,Тренды 2026 для TALANTLIVO: системные B2B-продажи и масштабирование IT-бизнеса,550 relay not permitted
N5K-0066,Макошь,info@makosh.pro,SENT,2026-08-31T02:49:13-07:00,1a05739151ccaf61,Тренды 2026 для «Макошь»: B2B-продажи и экономика роста,
N5K-0068,Laspan Group / Ласпан Групп,gendir@laspan.ru,SENT,2026-08-31T02:49:45-07:00,1a057399288539d4,Тренды 2026 для Laspan Group: масштабирование B2B-продаж без потери маржи,
N5K-0069,MiMiSmart / СмартБрик,msk@mimismart.ru,BOUNCED,2026-08-31T05:50:17-04:00,1a0573a10ec357da,Тренды 2026 для MiMiSmart: коммерческая модель Smart Home и партнёрский рост,550 Unknown user
N5K-0070,LaunchBase / SpaceAI,support@launch-base.ru,SENT,2026-08-31T02:50:48-07:00,1a0573a898b42d48,Тренды 2026 для LaunchBase / SpaceAI: GTM для B2B AI-продукта,
N5K-0071,ЕГЭLAND,egeland_office@mail.ru,SENT,2026-08-31T05:51:18-04:00,1a0573affbe957c4,Тренды 2026 для ЕГЭLAND: новые воронки и предсказуемая экономика роста,
N5K-0072,VICTORY group,pr@victoryagency.ru,SENT,2026-08-31T05:53:29-04:00,1a0573cff3e68aeb,Тренды 2026 для VICTORY group: рост B2B без потери управляемости,
N5K-0073,Мотус Москва,motus.rus@gmail.com,SENT,2026-08-31T13:05:33+03:00,1a057480a65586fd,Тренды 2026 для «Мотус»: B2B-проекты и экономика коммерческого роста,
N5K-0074,Мир Станочника,info@mirstan.ru,SENT,2026-08-31T13:06:03+03:00,1a057487fb12e687,Тренды 2026 для «Мир Станочника»: B2B-продажи оборудования и экономика филиальной сети,
N5K-0714,Рубеж-Инжиниринг,info@rub-in.ru,SENT,2026-08-31T13:06:34+03:00,1a05748fae5698c1,Тренды 2026 для «Рубеж-Инжиниринг»: рынок антидрон-систем и коммерческая архитектура B2B/B2G,
N5K-0718,Центр упаковки / ПК ЦУП,info@pk-cup.ru,SENT,2026-08-31T13:07:04+03:00,1a057496e50a0e26,Тренды 2026 для «Центра упаковки»: B2B-рост на фоне расширения производства,
N5K-0719,НПО БИТ / Biomedical Innovative Technologies,contract@npobit.com,SENT,2026-08-31T13:07:32+03:00,1a05749da0cf97c6,Тренды 2026 для НПО БИТ: контрактное производство, портфель ниш и B2B-рост,
N5K-0075,Серьёзная мебельная фабрика / СМФ,zakaz@s-mf.ru,SENT,2026-08-31T13:10:53+03:00,1a0574cea84b51af,Тренды 2026 для СМФ: проектные B2B-продажи мебели и экономика роста,
N5K-0667,НЕОС Ингредиентс,info@neos-ingredients.ru,SENT,2026-08-31T13:11:26+03:00,1a0574d6f955a9d8,Тренды 2026 для НЕОС Ингредиентс: 10 000+ клиентов, 14 представительств и следующий этап B2B-роста,
N5K-0668,Сибстекло,info@sibstek.ru,SENT,2026-08-31T13:11:56+03:00,1a0574de29582773,Тренды 2026 для «Сибстекло»: 850 млн единиц мощности, ESG и коммерческий потенциал стеклотары,
N5K-0556,Катюша / Katusha,mail@katusha-it.ru,SENT,2026-08-31T13:12:26+03:00,1a0574e5743d5d4e,Тренды 2026 для «Катюши»: корпоративная печать, партнёрская сеть и B2B/B2G-рост,
N5K-0674,АФС-Технологии / ГК ХимРар,welcome@chemrar.ru,SENT,2026-08-31T13:12:55+03:00,1a0574ecabbab431,Тренды 2026 для ГК «ХимРар»: новая фармсубстанция, R&D-сервисы и коммерческий потенциал рынка,
N5K-0263,CARP,9990219990@inbox.ru,SENT,2026-08-31T12:22:00+02:00,1a05754d4fc93949,Тренды 2026 для CARP: рост конверсии и управляемая система продаж,
N5K-0264,ФранчБрокер,franchbroker.org@gmail.com,SENT,2026-08-31T12:22:00+02:00,1a0575531ffb92c5,Тренды 2026 для «ФранчБрокер»: масштабирование B2B-продаж без потери управляемости,
N5K-0265,Self / Сэлф_,weloveyou@self.team,SENT,2026-08-31T12:22:00+02:00,1a057559a5b503ad,Тренды 2026 для Self: рост x3 международные продажи и коммерческая модель масштабирования,
N5K-0268,ALLIO,sales@allio.ru,SENT,2026-08-31T12:22:00+02:00,1a05755fc870cc5d,Тренды 2026 для ALLIO: длинные B2B-продажи PropTech и управляемый рост,
N5K-0269,UNIOR / Униор Профешнл Тулз,unior@unior.ru,SENT,2026-08-31T12:22:00+02:00,1a0575661f80b6fc,Тренды 2026 для UNIOR: крупные B2B-сделки и коммерческая система без перегруза CEO,
N5K-0271,НПО ГЕОН,gfedorov@geonplast.ru,SENT,2026-08-31T12:28:00+02:00,1a0575af409bed3e,Тренды 2026 для НПО «ГЕОН»: крупные B2B-проекты маржа и управляемый рост,
N5K-0272,Золотая Усадьба,info@usadbaufa.ru,SENT,2026-08-31T12:28:00+02:00,1a0575b4add79f5a,Тренды 2026 для «Золотой Усадьбы»: путь к 500 млн ₽ и система продаж под масштабирование,
