Lead ID,Contact ID,Brand,INN,Person Name,Person Role,Contact Value,Contact Channel,Contact Type,Contact Source,Source URL,Is LPR,Reliability,Date Checked,Notes,Run ID,Campaign ID
N5K-0004,N5K-C-0010,GOOD!ES / Гудийс,7726475511,Мурзабеков Руслан Исропилович,Генеральный директор,https://hh.ru/employer/5543615,hh,owner-first маршрут,HeadHunter,https://hh.ru/employer/5543615,true,MEDIUM,2026-08-03,Использовать карточку работодателя и вакансию коммерческого директора с просьбой передать предложение генеральному директору или собственнику; не позиционироваться соискателем,N5K-20260803-004,new_5000
N5K-0005,N5K-C-0014,Слюсарев и Партнёры,9703196184,Слюсарев Алексей Сергеевич,Собственник 100% и генеральный директор,https://slyusarevpartners.ru/,contact_form,корпоративный маршрут,официальный сайт,https://slyusarevpartners.ru/,true,HIGH,2026-08-03,Форма консультации и Telegram с официального сайта,N5K-20260803-005,new_5000
N5K-0005,N5K-C-0012,Слюсарев и Партнёры,9703196184,Слюсарев Алексей Сергеевич,Собственник 100% и генеральный директор,info@slyusarevpartners.ru,email,корпоративный маршрут,официальный сайт,https://slyusarevpartners.ru/,true,HIGH,2026-08-03,Адресовать генеральному директору и собственнику,N5K-20260803-005,new_5000
N5K-0005,N5K-C-0013,Слюсарев и Партнёры,9703196184,Слюсарев Алексей Сергеевич,Собственник 100% и генеральный директор,https://hh.ru/vacancy/130054591,hh,owner-first маршрут,HeadHunter,https://hh.ru/vacancy/130054591,true,HIGH,2026-08-03,Маршрут через вакансию на построение отдела продаж с нуля,N5K-20260803-005,new_5000
N5K-0005,N5K-C-0011,Слюсарев и Партнёры,9703196184,Слюсарев Алексей Сергеевич,Собственник 100% и генеральный директор,+7 903 77-22-555,phone,корпоративный маршрут,официальный сайт,https://slyusarevpartners.ru/,true,HIGH,2026-08-03,Просить передать собственнику предложение о коммерческой диагностике,N5K-20260803-005,new_5000
N5K-0024,N5K-C-0001,,,,,+7 (963) 947-85-89,,Phone,https://psv-law.ru/,,,,,,N5K-20260804-026,new_5000
N5K-0024,N5K-C-0002,,,,,https://hh.ru/vacancy/129935881,,HeadHunter,https://hh.ru/vacancy/129935881,,,,,,N5K-20260804-026,new_5000
N5K-0024,N5K-C-0003,,,,,https://psv-law.ru/,,Contact Form,https://psv-law.ru/,,,,,,N5K-20260804-026,new_5000
N5K-0024,N5K-C-0004,,,,,psvrf2008@mail.ru,,Email,https://psv-law.ru/,,,,,,N5K-20260804-026,new_5000
N5K-0028,N5K-C-0028-01,Руспадел,9705243672,Кривошеев Максим Александрович,Генеральный директор,https://hh.ru/vacancies/rukovoditel-proekta-po-razvitiyu-prodazh,hh,маршрут работодателя,HeadHunter,https://hh.ru/vacancies/rukovoditel-proekta-po-razvitiyu-prodazh,true,MEDIUM,2026-08-04,Практический маршрут через вакансию руководителя отдела продаж; адресовать обращение генеральному директору,N5K-20260804-030,new_5000
N5K-0028,N5K-C-0005,РУСПАДЕЛ / First Padel Club,9705243672,Кривошеев Максим Александрович,Генеральный директор,https://hh.ru/vacancies/rukovoditel_klientskogo_otdela/polnaya_zanyatost,hh,owner-first маршрут,HeadHunter,https://hh.ru/vacancies/rukovoditel_klientskogo_otdela/polnaya_zanyatost,true,MEDIUM,2026-08-03,Использовать карточку работодателя и вакансию руководителя продаж с просьбой передать предложение генеральному директору; не позиционироваться соискателем,N5K-20260803-002,new_5000
