Lead ID,Brand,Legal Name,INN,OGRN/OGRNIP,Legal Status,Region,City,Segment,Website,Revenue/Scale,Signal Level,Signal Summary,Signal Date,Signal Source,Owner,CEO,LPR,LPR Role,Primary Phone,Primary Email,HH Contact,Contact Form,Contact Type,Contact Source,Number Of Contacts Found,Consulting Hypothesis,Final Quick Status,Added At,Updated At,Run ID,Campaign ID
N5K-0004,GOOD!ES / Гудийс,ООО «ГУДИЙС»,7726475511,1217700152999,Действует,Москва,Москва,FMCG / производство готовых завтраков и снеков,,Выручка 80 069 000 ₽; прибыль 2 670 000 ₽; 20 сотрудников за 2024 год; продукция представлена в 47 странах по данным работодателя,S1,Компания открыла вакансию коммерческого директора с задачами выстраивания бизнес-процессов с нуля; развития продаж бренда и управления производственно-коммерческим контуром,2026-02-06,https://hh.ru/vacancy/130250907,Ольчедаевский Михаил Ильич 95%; Кутепова Надежда Петровна 5%,Мурзабеков Руслан Исропилович,Мурзабеков Руслан Исропилович,Генеральный директор / практический ЛПР,,,https://hh.ru/employer/5543615,,Owner-first маршрут через работодателя HeadHunter,РБК Компании и HeadHunter,1,Диагностика коммерческой стратегии FMCG; P&L по продуктам и каналам; дистрибуция; экспорт; ассортимент; CRM и 90-дневная программа роста,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-03T16:58:00+03:00,2026-08-03T16:58:00+03:00,N5K-20260803-004,new_5000
N5K-0005,Слюсарев и Партнёры,ООО «ЮК «СЛЮСАРЕВ И ПАРТНЁРЫ»,9703196184,1247700747678,Действует,Москва,Москва,B2B юридические услуги / налоговый консалтинг,https://slyusarevpartners.ru/,Новая компания с 2024 года; официальный сайт заявляет 1000+ спасённых бизнесов 24 года опыта команды и 10 млрд ₽ налогов сэкономленных клиентам,S1,Компания открыла вакансию руководителя продаж юридических услуг B2B с задачей построить прибыльный отдел продаж с нуля внедрить CRM воронку отчётность партнёрские каналы и команду,2026-01-30,https://hh.ru/vacancy/130054591,Слюсарев Алексей Сергеевич,Слюсарев Алексей Сергеевич,Слюсарев Алексей Сергеевич,Собственник 100% и генеральный директор,+7 903 77-22-555,info@slyusarevpartners.ru,https://hh.ru/vacancy/130054591,https://slyusarevpartners.ru/,Корпоративный маршрут к собственнику через официальный сайт телефон email Telegram и HH,Официальный сайт; РБК Компании; HeadHunter,4,Диагностика B2B-воронки юридических услуг; сегментация клиентов; продуктовая упаковка; CRM KPI партнёрские каналы и 90-дневный запуск отдела продаж,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-03T17:58:00+03:00,2026-08-03T17:58:00+03:00,N5K-20260803-005,new_5000
N5K-0024,ПСВ / Правовая служба взыскания,ООО «ПСВ»,5403069300,1225400013717,Действует,Новосибирская область,Новосибирск,B2B юридические услуги / взыскание задолженности,https://psv-law.ru/,Выручка 20 800 000 ₽ и чистая прибыль 7 600 000 ₽ за 2025 год; рост выручки 506% год к году,S1,Компания запускает новый удалённый B2B-отдел продаж юридических услуг с нуля: структура воронка регламенты KPI команда из руководителя и шести менеджеров; личное участие в сложных переговорах,2026-02-23,https://hh.ru/vacancy/129935881,Финикова Александра Борисовна,Финикова Александра Борисовна,Финикова Александра Борисовна,Собственник 100% и директор,+7 (963) 947-85-89,psvrf2008@mail.ru,https://hh.ru/vacancy/129935881,https://psv-law.ru/,Корпоративный маршрут к собственнику через официальный телефон email сайт и HeadHunter,Официальный сайт; HeadHunter; Companium; публичные каталоги,4,Диагностика B2B-воронки юридических услуг; сегментация долговых кейсов; продуктовая упаковка; CRM; KPI; экономика каналов и 90-дневный запуск удалённого отдела продаж,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-04T16:00:32+03:00,2026-08-04T16:00:32+03:00,N5K-20260804-026,new_5000
N5K-0028,Руспадел,ООО «РУСПАДЕЛ»,9705243672,1257700259838,Действует,Москва,Москва,Спортивные услуги и падел-клуб,,Микропредприятие; зарегистрировано 10.06.2025; семь физических лиц-учредителей; запуск и систематизация продаж клубного членства,S1,Компания формирует отдел продаж с нуля для клубного членства: штат менеджеров и телемаркетинга адаптация обучение и масштабирование продаж,2026-04-01,https://hh.ru/vacancies/rukovoditel-proekta-po-razvitiyu-prodazh,Лукьянов Александр Сергеевич; Реут Марина Вячеславовна; Алфёров Дмитрий Валерьевич и другие учредители,Кривошеев Максим Александрович,Кривошеев Максим Александрович,Генеральный директор,,,https://hh.ru/vacancies/rukovoditel-proekta-po-razvitiyu-prodazh,,Маршрут работодателя через HeadHunter,Rusprofile; HeadHunter,1,Архитектура продаж клубного членства; сегментация B2C и корпоративных клиентов; CRM-воронка; KPI телемаркетинга; unit-экономика абонементов; план масштабирования клуба,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-04T20:01:30+03:00,2026-08-04T20:01:30+03:00,N5K-20260804-030,new_5000
N5K-0038,Agrida / Агрида,ООО «АГРИДА»,2130216251,1202100000189,Действует,Чувашская Республика,Чебоксары,Производство оборудования для сельского хозяйства / B2B,https://agrida.ru/,Выручка 191 млн ₽ за 2025 год; рост 82.8%; 17 сотрудников; более 100 оснащённых ферм; собственное производство,S1,Компания планирует запуск направления строительства ферм под ключ и увеличение выручки в 3 раза; вакансия CCO предусматривает перестройку продаж маркетинга продуктовой линейки и коммерческого управления,2026-01-01,https://cheboksary.hh.ru/vacancy/127832239,Емельянов Николай Николаевич 50%; Косулин Максим Сергеевич 50%,Емельянов Николай Николаевич,Емельянов Николай Николаевич,Генеральный директор и совладелец,+7 (800) 222-51-00,zakaz@agrida.ru,https://cheboksary.hh.ru/vacancy/127832239,https://agrida.ru/,Корпоративный маршрут к генеральному директору через официальный телефон email форму сайта и HH,Официальный сайт; HeadHunter; ФНС-агрегаторы; ТПП Чувашии,4,Диагностика стратегии роста x3; запуск направления строительства ферм под ключ; P&L по направлениям; сегментация агрохолдингов; CRM; KPI и 90-дневная программа коммерческой трансформации,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-06T06:08:00+03:00,2026-08-06T06:08:00+03:00,N5K-20260806-064,new_5000
N5K-0046,Тимоша,ООО «ТИМОША»,5027182999,1125027000537,Действует,Московская область,Дзержинский,FMCG / производство кондитерских изделий и рыбных снеков,https://timosha.ru/,Выручка 5 091 862 000 ₽ и прибыль 162 374 000 ₽ за 2024 год; 116 сотрудников; 12+ филиалов и поставки в крупнейшие федеральные сети,S1,Компания запускает новое направление рыбной снековой продукции и ищет руководителя для развития продаж с нуля; ассортиментной и ценовой политики; привлечения сетевых клиентов и развития канала,2026-01-18,https://hh.ru/vacancy/129588675,Куртбединов Тимур Сейранович,Управляющая компания ООО «Торговый Дом «Тимоша»»,Куртбединов Тимур Сейранович,Собственник 100% / стратегический ЛПР,+7 (495) 744-11-62,halva@timosha.ru,https://hh.ru/vacancy/129588675,https://timosha.ru/company/,Официальный телефон email сайт и маршрут работодателя,Официальный сайт; HeadHunter; РБК Компании; Saby,4,Диагностика запуска нового FMCG-направления; ассортимент и ценообразование; федеральные сети; маржинальность; trade marketing; KPI и 90-дневный план продаж,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-06T17:58:22+03:00,2026-08-06T17:58:22+03:00,N5K-20260806-077,new_5000
N5K-0053,Парус,ООО «ПАРУС»,2540184275,1122540007578,Действует,Приморский край,Владивосток,Логистика / ВЭД / таможенное оформление / B2B,https://tpp.ru/,Выручка 3 084 916 000 ₽ за 2025 год; 130 сотрудников за 2025 год; офисы в нескольких городах России и за рубежом,S1,Компания усиливает коммерческий блок и ставит задачу построить отдел холодных B2B-продаж с нуля с CRM-воронкой наймом команды и прогнозируемым финансовым результатом,2026-04-06,https://dreamjob.ru/employers/304587/vakansii/131845562,Соловьев Владислав Николаевич 50%; Мажиров Роман Анатольевич 50%,Петрук Роман Викторович,Петрук Роман Викторович,Директор / практический ЛПР,+7 (423) 249-70-73,info@tpp.ru,https://vladivostok.hh.ru/vacancy/129055647,https://tpp.ru/,Корпоративный маршрут к директору через официальный телефон email сайт и вакансию,ФТС России; официальный сайт; HeadHunter; РБК Компании; DreamJob,4,Диагностика B2B-коммерческой модели ВЭД и логистики; сегментация клиентов; холодная воронка; CRM; маржинальность по услугам; KPI и 90-дневный запуск отдела продаж,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-07T07:03:53+03:00,2026-08-07T07:18:00+03:00,N5K-20260807-090,new_5000
N5K-0054,Идеальный турник,ООО «СИСТЕМА НАЙМА»,7726466933,1207700283812,Действует,Москва,Москва,Спортивное оборудование / производство и e-commerce / B2B+B2C,https://idealturnik.ru/,Выручка 23.5 млн ₽ за 2024 год; более 30 000 товарных позиций; B2B-клиенты включают Московский метрополитен и крупные фитнес-сети,S1,Компания нанимает руководителя отдела продаж для систематизации и развития B2B-продаж; вакансия требует опыта построения отдела продаж с нуля и повышения конверсии,2026-08-01,https://spb.hh.ru/vacancies/rukovoditel-otdela-prodazh-rop/za_poslednie_tri_dnya,Билый Кирилл Юрьевич,Билый Кирилл Юрьевич,Билый Кирилл Юрьевич,Собственник 100% и генеральный директор,8 (499) 647-43-58,region@idealturnik.ru,https://spb.hh.ru/vacancies/rukovoditel-otdela-prodazh-rop/za_poslednie_tri_dnya,https://idealturnik.ru/contacts/,Корпоративный маршрут к собственнику через официальный телефон email сайт и HeadHunter,Официальный сайт; РБК Компании; HeadHunter; Точка,4,Диагностика B2B-продаж спортивного оборудования; сегментация корпоративных клиентов и дилеров; CRM-воронка; конверсия; маржинальность; KPI и 90-дневный план масштабирования отдела,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-07T08:03:44+03:00,2026-08-07T08:18:00+03:00,N5K-20260807-091,new_5000
N5K-0056,Третье Чувство,ООО «ТРЕТЬЕ ЧУВСТВО»,7723909753,1147746596931,Действует,Москва,Москва,Аромамаркетинг / производство / B2B+B2G,https://3sense.ru/,Выручка 94 020 000 ₽ за 2025 год; более 800 приборов на подписке; 280+ объектов на обслуживании; база 2000+ покупателей,S1,Компания ищет руководителя продаж для построения и обучения отдела продаж с нуля и внедрения B2B/B2G воронки,2026-06-02,https://bebee.com/ru/jobs/job--techmap_ru_133002548,Шабала Сергей Николаевич,Шабала Сергей Николаевич,Шабала Сергей Николаевич,Собственник 100% и генеральный директор,8 800 500-05-71,,https://3sense.ru/write,https://3sense.ru/write,Phone + Website + Director Form + Vacancy,Официальный сайт; T-Bank Бизнес; HeadHunter-агрегаторы,4,Диагностика B2B/B2G-коммерческой модели; сегментация объектов; подписная модель; CRM-воронка; KPI; сервисная экономика и 90-дневный план систематизации продаж,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-07T10:01:19+03:00,2026-08-07T10:01:19+03:00,N5K-20260807-093,new_5000
N5K-0057,ВЕГАЛИБР,ООО «ВЕГАЛИБР»,9731016281,1187746950511,Действует,Москва,Москва,Промышленное производство / калибры / B2B,https://vegalibr.ru/,Выручка 52 200 000 ₽ за 2025 год; производственно-торговая компания работает с заводами и металлообрабатывающими предприятиями по всей России,S1,Компания усиливает коммерческий блок и ищет лидера для построения нового коммерческого контура с нуля в B2B-продажах промышленным предприятиям,2026-06-29,https://nesiditsa.ru/vacancy/134273324,Макаева Юлия Александровна 51%; Тарасов Егор Андреевич 49%,Макаев Александр Андреевич,Макаев Александр Андреевич,Генеральный директор / практический ЛПР,+7 (495) 532 87 00,zakaz@vegalibr.ru,https://hh.ru/vacancy/129067129,https://vegalibr.ru/contacts/,Phone + Email + Website + Vacancy,Официальный сайт; T-Bank Бизнес; HeadHunter; вакансии-агрегаторы,4,Диагностика промышленной B2B-воронки; сегментация заводов; активные продажи; CRM; тендерный и дилерский каналы; KPI и 90-дневный запуск коммерческого контура,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-07T10:01:19+03:00,2026-08-07T10:01:19+03:00,N5K-20260807-093,new_5000
