Run ID,Started At,Completed At,Campaign ID,Discovered,Qualified,Duplicates,Excluded,Current Canonical,Current Contactable,Integrity,Orphan Contacts,Orphan Evidence,Report
N5K-20260811-198,2026-08-11T18:03:21+03:00,2026-08-11T18:03:21+03:00,new_5000,30,1,8,21,197,197,PASS,0,0,reports/run_2026-08-11_198.md
N5K-20260811-199,2026-08-11T18:58:21+03:00,2026-08-11T18:58:21+03:00,new_5000,30,2,8,20,199,199,PASS,0,0,reports/run_2026-08-11_199.md
N5K-20260811-200,2026-08-11T19:59:27+03:00,2026-08-11T19:59:27+03:00,new_5000,30,1,8,21,200,200,PASS,0,0,reports/run_2026-08-11_200.md
N5K-20260811-201,2026-08-11T21:01:56+03:00,2026-08-11T21:01:56+03:00,new_5000,30,1,7,22,201,201,PASS,0,0,reports/run_2026-08-11_201.md
N5K-20260811-202,2026-08-11T22:02:13+03:00,2026-08-11T22:02:13+03:00,new_5000,30,1,7,22,202,202,PASS,0,0,reports/run_2026-08-11_202.md
N5K-20260811-203,2026-08-11T22:58:56+03:00,2026-08-11T22:58:56+03:00,new_5000,30,1,8,21,203,203,PASS,0,0,reports/run_2026-08-11_203.md
N5K-20260811-204,2026-08-11T23:58:10+03:00,2026-08-11T23:58:10+03:00,new_5000,30,1,5,24,204,204,PASS,0,0,reports/run_2026-08-11_204.md
N5K-20260812-205,2026-08-12T01:01:37+03:00,2026-08-12T01:01:37+03:00,new_5000,30,1,8,21,205,205,PASS,0,0,reports/run_2026-08-12_205.md
N5K-20260812-206,2026-08-12T02:01:25+03:00,2026-08-12T02:01:25+03:00,new_5000,30,1,2,27,206,206,PASS,0,0,reports/run_2026-08-12_206.md
N5K-20260812-207,2026-08-12T03:05:11+03:00,2026-08-12T03:05:11+03:00,new_5000,30,1,8,21,207,207,PASS,0,0,reports/run_2026-08-12_207.md
N5K-20260812-208,2026-08-12T04:03:33+03:00,2026-08-12T04:03:33+03:00,new_5000,30,1,8,21,208,208,PASS,0,0,reports/run_2026-08-12_208.md
N5K-20260812-209,2026-08-12T05:00:20+03:00,2026-08-12T05:00:20+03:00,new_5000,30,1,7,22,209,209,PASS,0,0,reports/run_2026-08-12_209.md
N5K-20260812-210,2026-08-12T06:01:55+03:00,2026-08-12T06:01:55+03:00,new_5000,30,1,7,22,210,210,PASS,0,0,reports/run_2026-08-12_210.md
N5K-20260812-211,2026-08-12T06:59:47+03:00,2026-08-12T06:59:47+03:00,new_5000,30,1,7,22,211,211,PASS,0,0,reports/run_2026-08-12_211.md
N5K-20260812-212,2026-08-12T08:02:09+03:00,2026-08-12T08:02:09+03:00,new_5000,30,3,5,22,214,214,PASS,0,0,reports/run_2026-08-12_212.md
N5K-20260812-213,2026-08-12T09:06:45+03:00,2026-08-12T09:06:45+03:00,new_5000,30,2,3,25,216,216,PASS,0,0,reports/run_2026-08-12_213.md
N5K-20260812-214,2026-08-12T10:00:00+03:00,2026-08-12T10:00:00+03:00,new_5000,30,2,4,24,218,218,PASS,0,0,reports/run_2026-08-12_214.md
N5K-20260812-215,2026-08-12T11:00:00+03:00,2026-08-12T11:00:00+03:00,new_5000,30,1,6,23,219,219,PASS,0,0,reports/run_2026-08-12_215.md
N5K-20260812-216,2026-08-12T12:00:00+03:00,2026-08-12T12:00:00+03:00,new_5000,30,1,7,22,220,220,PASS,0,0,reports/run_2026-08-12_216.md
N5K-20260812-217,2026-08-12T13:03:04+03:00,2026-08-12T13:03:04+03:00,new_5000,30,1,9,20,221,221,PASS,0,0,reports/run_2026-08-12_217.md
N5K-20260812-218,2026-08-12T14:03:00+03:00,2026-08-12T14:03:00+03:00,new_5000,30,1,9,20,222,222,PASS,0,0,reports/run_2026-08-12_218.md
N5K-20260812-219,2026-08-12T15:00:55+03:00,2026-08-12T15:00:55+03:00,new_5000,30,1,8,21,223,223,PASS,0,0,reports/run_2026-08-12_219.md
N5K-20260812-220,2026-08-12T16:05:56+03:00,2026-08-12T16:05:56+03:00,new_5000,30,1,10,19,224,224,PASS,0,0,reports/run_2026-08-12_220.md
N5K-20260812-221,2026-08-12T16:58:42+03:00,2026-08-12T16:58:42+03:00,new_5000,30,0,9,21,224,224,PASS,0,0,reports/run_2026-08-12_221.md
N5K-20260812-222,2026-08-12T18:01:46+03:00,2026-08-12T18:01:46+03:00,new_5000,30,1,8,21,225,225,PASS,0,0,reports/run_2026-08-12_222.md
N5K-20260812-223,2026-08-12T19:01:18+03:00,2026-08-12T19:01:18+03:00,new_5000,30,1,10,19,226,226,PASS,0,0,reports/run_2026-08-12_223.md
N5K-20260812-224,2026-08-12T20:01:36+03:00,2026-08-12T20:01:36+03:00,new_5000,30,1,9,20,227,227,PASS,0,0,reports/run_2026-08-12_224.md
